# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.5109478137187771
# n_degenerate 3
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3
6.967855090540038543e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.170396738243912438e+00 2.606546088805026251e-01 2.606546068698559204e-01
6.967855090540038543e-02 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.170396738243912438e+00 2.606546088805026251e-01 2.606546068698559204e-01
6.967855090540038543e-02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 6.170397508923644914e+00 2.606546062923471019e-01 2.606546062923471019e-01
6.967855090540038543e-02 0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 6.170397508923644914e+00 2.606546062923471019e-01 2.606546062923471019e-01
6.967855090540038543e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.170396026245821730e+00 2.606546081529002579e-01 2.606546081529002579e-01
6.967855090540038543e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 6.170396026245821730e+00 2.606546081529002579e-01 2.606546081529002579e-01
7.629461771935279468e-02 0.000000000000000000e+00 7.071067811865474617e-01 7.071067811865474617e-01 5.740597135670201245e-01 4.427770922057410741e-01 2.607343564087596932e-01
7.629461771935279468e-02 0.000000000000000000e+00 -7.071067811865474617e-01 7.071067811865474617e-01 5.740597150788304681e-01 4.427770890769123779e-01 2.607343560018211548e-01
7.629461771935279468e-02 0.000000000000000000e+00 7.071067811865474617e-01 -7.071067811865474617e-01 5.740597150788304681e-01 4.427770890769123779e-01 2.607343560018211548e-01
7.629461771935279468e-02 0.000000000000000000e+00 -7.071067811865474617e-01 -7.071067811865474617e-01 5.740597135670201245e-01 4.427770922057410741e-01 2.607343564087596932e-01
7.629461771935279468e-02 7.071067811865474617e-01 0.000000000000000000e+00 7.071067811865474617e-01 5.740597106938061245e-01 4.427770896256761346e-01 2.607343543161658173e-01
7.629461771935279468e-02 7.071067811865474617e-01 0.000000000000000000e+00 -7.071067811865474617e-01 5.740597082123306549e-01 4.427770856036205571e-01 2.607343570404970223e-01
7.629461771935279468e-02 -7.071067811865474617e-01 0.000000000000000000e+00 7.071067811865474617e-01 5.740597082123306549e-01 4.427770856036205571e-01 2.607343570404970223e-01
7.629461771935279468e-02 -7.071067811865474617e-01 0.000000000000000000e+00 -7.071067811865474617e-01 5.740597106938061245e-01 4.427770896256761346e-01 2.607343543161658173e-01
7.629461771935279468e-02 7.071067811865474617e-01 7.071067811865474617e-01 0.000000000000000000e+00 5.740597207614404063e-01 4.427770855569917452e-01 2.607343558649607429e-01
7.629461771935279468e-02 -7.071067811865474617e-01 7.071067811865474617e-01 0.000000000000000000e+00 5.740597093624526526e-01 4.427770891621528038e-01 2.607343557488067121e-01
7.629461771935279468e-02 7.071067811865474617e-01 -7.071067811865474617e-01 0.000000000000000000e+00 5.740597093624526526e-01 4.427770891621528038e-01 2.607343557488067121e-01
7.629461771935279468e-02 -7.071067811865474617e-01 -7.071067811865474617e-01 0.000000000000000000e+00 5.740597207614404063e-01 4.427770855569917452e-01 2.607343558649607429e-01
8.021962308552600673e-02 5.773502691896258421e-01 5.773502691896258421e-01 5.773502691896258421e-01 4.409931806044531943e-01 3.591921424681808195e-01 3.591921424681808195e-01
8.021962308552600673e-02 -5.773502691896258421e-01 5.773502691896258421e-01 5.773502691896258421e-01 4.409931868904936603e-01 3.591921403058625506e-01 3.591921403058625506e-01
8.021962308552600673e-02 5.773502691896258421e-01 -5.773502691896258421e-01 5.773502691896258421e-01 4.409931787235864542e-01 3.591921442497160721e-01 3.591921442497160721e-01
8.021962308552600673e-02 5.773502691896258421e-01 5.773502691896258421e-01 -5.773502691896258421e-01 4.409931782899339514e-01 3.591921423151155923e-01 3.591921423151155923e-01
8.021962308552600673e-02 -5.773502691896258421e-01 -5.773502691896258421e-01 5.773502691896258421e-01 4.409931782899339514e-01 3.591921423151155923e-01 3.591921423151155923e-01
8.021962308552600673e-02 5.773502691896258421e-01 -5.773502691896258421e-01 -5.773502691896258421e-01 4.409931868904936603e-01 3.591921403058625506e-01 3.591921403058625506e-01
8.021962308552600673e-02 -5.773502691896258421e-01 5.773502691896258421e-01 -5.773502691896258421e-01 4.409931787235864542e-01 3.591921442497160721e-01 3.591921442497160721e-01
