# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.39992957651412864
# n_degenerate 4
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3 mass4
6.967855090540038543e-02 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.046683598186368469e-01 7.046664538685332158e-01 2.510994289825790315e-01 2.510992433348626651e-01
6.967855090540038543e-02 -1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.046683598186368469e-01 7.046664538685332158e-01 2.510994289825790315e-01 2.510992433348626651e-01
6.967855090540038543e-02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 7.046680888946121879e-01 7.046667926780865177e-01 2.510994820021869578e-01 2.510992630406075898e-01
6.967855090540038543e-02 0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 7.046680888946121879e-01 7.046667926780865177e-01 2.510994820021869578e-01 2.510992630406075898e-01
6.967855090540038543e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.046768841552958351e-01 7.046754501006140536e-01 2.510982125837742940e-01 2.510980957176420780e-01
6.967855090540038543e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 7.046768841552958351e-01 7.046754501006140536e-01 2.510982125837742940e-01 2.510980957176420780e-01
7.629461771935279468e-02 0.000000000000000000e+00 7.071067811865474617e-01 7.071067811865474617e-01 4.929102394012414012e-01 4.929133979360226792e-01 2.964771309806917277e-01 2.964753504422764085e-01
7.629461771935279468e-02 0.000000000000000000e+00 -7.071067811865474617e-01 7.071067811865474617e-01 4.929143763798126687e-01 4.929092729895688252e-01 2.964754826861935033e-01 2.964770290602331548e-01
7.629461771935279468e-02 0.000000000000000000e+00 7.071067811865474617e-01 -7.071067811865474617e-01 4.929143763798126687e-01 4.929092729895688252e-01 2.964754826861935033e-01 2.964770290602331548e-01
7.629461771935279468e-02 0.000000000000000000e+00 -7.071067811865474617e-01 -7.071067811865474617e-01 4.929102394012414012e-01 4.929133979360226792e-01 2.964771309806917277e-01 2.964753504422764085e-01
7.629461771935279468e-02 7.071067811865474617e-01 0.000000000000000000e+00 7.071067811865474617e-01 4.929097588429709464e-01 4.929130364340201798e-01 2.964771334590975416e-01 2.964753823316394477e-01
7.629461771935279468e-02 7.071067811865474617e-01 0.000000000000000000e+00 -7.071067811865474617e-01 4.929142986170937935e-01 4.929090530691961347e-01 2.964754831814744862e-01 2.964770155197806178e-01
7.629461771935279468e-02 -7.071067811865474617e-01 0.000000000000000000e+00 7.071067811865474617e-01 4.929142986170937935e-01 4.929090530691961347e-01 2.964754831814744862e-01 2.964770155197806178e-01
7.629461771935279468e-02 -7.071067811865474617e-01 0.000000000000000000e+00 -7.071067811865474617e-01 4.929097588429709464e-01 4.929130364340201798e-01 2.964771334590975416e-01 2.964753823316394477e-01
7.629461771935279468e-02 7.071067811865474617e-01 7.071067811865474617e-01 0.000000000000000000e+00 4.929057981222694229e-01 4.929091649628856708e-01 2.964785628569810982e-01 2.964767778576117285e-01
7.629461771935279468e-02 -7.071067811865474617e-01 7.071067811865474617e-01 0.000000000000000000e+00 4.929099329318554212e-01 4.929050881056006861e-01 2.964771202027838837e-01 2.964786818848029193e-01
7.629461771935279468e-02 7.071067811865474617e-01 -7.071067811865474617e-01 0.000000000000000000e+00 4.929099329318554212e-01 4.929050881056006861e-01 2.964771202027838837e-01 2.964786818848029193e-01
7.629461771935279468e-02 -7.071067811865474617e-01 -7.071067811865474617e-01 0.000000000000000000e+00 4.929057981222694229e-01 4.929091649628856708e-01 2.964785628569810982e-01 2.964767778576117285e-01
8.021962308552600673e-02 5.773502691896257311e-01 5.773502691896257311e-01 5.773502691896257311e-01 4.053869992907799258e-01 4.054032225261803291e-01 3.407178518781318610e-01 3.407059290480747848e-01
8.021962308552600673e-02 -5.773502691896257311e-01 5.773502691896257311e-01 5.773502691896257311e-01 4.053977597387969922e-01 4.053922240713981884e-01 3.407097628466030370e-01 3.407140779588799240e-01
8.021962308552600673e-02 5.773502691896257311e-01 -5.773502691896257311e-01 5.773502691896257311e-01 4.053977639041999592e-01 4.053922038610768275e-01 3.407096091074262589e-01 3.407142508278120374e-01
8.021962308552600673e-02 5.773502691896257311e-01 5.773502691896257311e-01 -5.773502691896257311e-01 4.053978291929362099e-01 4.053922570801183345e-01 3.407096079034688252e-01 3.407143234477224558e-01
8.021962308552600673e-02 -5.773502691896257311e-01 -5.773502691896257311e-01 5.773502691896257311e-01 4.053978291929362099e-01 4.053922570801183345e-01 3.407096079034688252e-01 3.407143234477224558e-01
8.021962308552600673e-02 5.773502691896257311e-01 -5.773502691896257311e-01 -5.773502691896257311e-01 4.053977597387969922e-01 4.053922240713981884e-01 3.407097628466030370e-01 3.407140779588799240e-01
8.021962308552600673e-02 -5.773502691896257311e-01 5.773502691896257311e-01 -5.773502691896257311e-01 4.053977639041999592e-01 4.053922038610768275e-01 3.407096091074262589e-01 3.407142508278120374e-01
8.021962308552600673e-02 -5.773502691896257311e-01 -5.773502691896257311e-01 -5.773502691896257311e-01 4.053869992907799258e-01 4.054032225261803291e-01 3.407178518781318610e-01 3.407059290480747848e-01
6.513636946550790952e-02 2.551252621114133978e-01 2.551252621114133978e-01 9.326425903126904782e-01 6.023767360897326339e-01 6.023796231662572609e-01 2.672684350078508020e-01 2.672673859199843904e-01
6.513636946550790952e-02 -2.551252621114133978e-01 2.551252621114133978e-01 9.326425903126904782e-01 6.023791431022634812e-01 6.023764305388017437e-01 2.672679431048196608e-01 2.672678859463661349e-01
6.513636946550790952e-02 2.551252621114133978e-01 -2.551252621114133978e-01 9.326425903126904782e-01 6.023788588015799306e-01 6.023768392651716042e-01 2.672679971843979763e-01 2.672679106497066748e-01
6.513636946550790952e-02 2.551252621114133978e-01 2.551252621114133978e-01 -9.326425903126904782e-01 6.023805761769703837e-01 6.023757232926308935e-01 2.672676029799886388e-01 2.672682202588808620e-01
6.513636946550790952e-02 -2.551252621114133978e-01 -2.551252621114133978e-01 9.326425903126904782e-01 6.023805761769703837e-01 6.023757232926308935e-01 2.672676029799886388e-01 2.672682202588808620e-01
6.513636946550790952e-02 -2.551252621114133978e-01 2.551252621114133978e-01 -9.326425903126904782e-01 6.023788588015799306e-01 6.023768392651716042e-01 2.672679971843979763e-01 2.672679106497066748e-01
6.513636946550790952e-02 2.551252621114133978e-01 -2.551252621114133978e-01 -9.326425903126904782e-01 6.023791431022634812e-01 6.023764305388017437e-01 2.672679431048196608e-01 2.672678859463661349e-01
6.513636946550790952e-02 -2.551252621114133978e-01 -2.551252621114133978e-01 -9.326425903126904782e-01 6.023767360897326339e-01 6.023796231662572609e-01 2.672684350078508020e-01 2.672673859199843904e-01
6.513636946550790952e-02 -2.551252621114134533e-01 9.326425903126905892e-01 2.551252621114134533e-01 6.023725852992882768e-01 6.023707399761354386e-01 2.672692188043492845e-01 2.672692085973833453e-01
6.513636946550790952e-02 2.551252621114134533e-01 -9.326425903126905892e-01 2.551252621114134533e-01 6.023735597762753802e-01 6.023687847225427383e-01 2.672689585421957892e-01 2.672695627707372124e-01
6.513636946550790952e-02 2.551252621114134533e-01 9.326425903126905892e-01 -2.551252621114134533e-01 6.023728405462993596e-01 6.023708674888651471e-01 2.672692759377152116e-01 2.672692197328384589e-01
6.513636946550790952e-02 -2.551252621114134533e-01 -9.326425903126905892e-01 2.551252621114134533e-01 6.023728405462993596e-01 6.023708674888651471e-01 2.672692759377152116e-01 2.672692197328384589e-01
6.513636946550790952e-02 -2.551252621114134533e-01 9.326425903126905892e-01 -2.551252621114134533e-01 6.023735597762753802e-01 6.023687847225427383e-01 2.672689585421957892e-01 2.672695627707372124e-01
6.513636946550790952e-02 2.551252621114134533e-01 -9.326425903126905892e-01 -2.551252621114134533e-01 6.023725852992882768e-01 6.023707399761354386e-01 2.672692188043492845e-01 2.672692085973833453e-01
6.513636946550790952e-02 -2.551252621114134533e-01 -9.326425903126905892e-01 -2.551252621114134533e-01 6.023699357772223095e-01 6.023733244694855493e-01 2.672697230631128074e-01 2.672686733718019347e-01
6.513636946550790952e-02 2.551252621114134533e-01 9.326425903126905892e-01 2.551252621114134533e-01 6.023699357772223095e-01 6.023733244694855493e-01 2.672697230631128074e-01 2.672686733718019347e-01
